,Genes_Detected,Percent Mitochondria,Total_reads,Trimmed_filtered_reads,Mapped_reads,Singletons,Median_Insert_Size,Inset_Size_SD,Percent_Duplication,chrM_Mapped,chrX_Mapped,chrY_Mapped,Percent_Coding,Percent_UTR,Percent_Intron,Percent_Intergenic,Percent_RRNA,Median_5`_Bias,Median_3`_Bias,Median_5`to3`_Bias,Percent_Pass,Percent_Mapping,Percent_Target,ID,PASS.FAIL
1-1o-n-HuT-C60_S96,2332,4.23385658357,7100180.0,6915559.0,2557906.0,,,,73.6287,1.74995253457,0.574761924524,0.0388110346539,0.412099,0.553636,1.8865,1.5334,0.0065,0.283742,0.735382,0.441204,97.3997701467,36.9876968731,96.5735,1-1o-n-HuT-C60_S96,PASS
1-db-deb-HuT-C91_S53,20,0.0,105.0,90.0,23.0,,,,0.0,0.0,1.11111111111,0.0,0.174927,0.825073,0.0,0.0,0.0,0.0,0.0,0.0,85.7142857143,25.5555555556,100.0,1-db-deb-HuT-C91_S53,FAIL
1-db-HuT-C79_S51,1982,0.977130816648,4547583.0,4400448.0,2080813.0,,,,68.4263,1.07675400323,1.47235008799,0.0307695943686,0.391989,0.578046,1.6636,1.3328,0.0001,0.320785,0.738643,0.455794,96.7645450341,47.2863899312,97.0035,1-db-HuT-C79_S51,FAIL
1-db-HuT-C85_S52,41,1.91499299393,135.0,129.0,48.0,,,,0.0,0.0,0.0,0.0,0.258196,0.643748,8.7032,1.1024,0.0,0.0,0.0,0.0,95.5555555556,37.2093023256,90.1944,1-db-HuT-C85_S52,FAIL
1-db-HuT-C88_S101,34,2.7027027027,168.0,159.0,44.0,,,,0.0,0.62893081761,1.25786163522,0.0,0.370098,0.560968,4.5956,2.2978,0.0,0.0,0.0,0.0,94.6428571429,27.6729559748,93.1066,1-db-HuT-C88_S101,FAIL
1-db-HuT-C90_S85,60,2.98507462687,157.0,153.0,78.0,,,,0.0,1.96078431373,3.92156862745,0.0,0.429922,0.53602,1.3374,2.0685,0.0,0.0,0.0,0.0,97.4522292994,50.9803921569,96.5942,1-db-HuT-C90_S85,FAIL
1-fuz-HuT-C06_S55,1632,2.38588198605,8342350.0,8091547.0,4357450.0,,,,80.7989,1.94261987232,1.89658417605,0.0205399536084,0.430091,0.540914,1.4429,1.4566,0.0,0.273168,0.781772,0.383937,96.9936169065,53.8518777682,97.1005,1-fuz-HuT-C06_S55,FAIL
1-HuT-C01_S19,2151,3.43590993048,6938901.0,6734431.0,2624614.0,,,,74.2432,1.36648515665,1.64682064454,0.0164230652894,0.387334,0.575192,2.1198,1.6249,0.0028,0.254807,0.782419,0.324833,97.0532797629,38.9730624607,96.2526,1-HuT-C01_S19,PASS
1-HuT-C04_S71,2238,4.08835669319,5323393.0,5161746.0,2188746.0,,,,68.4214,2.01307852033,0.947063261152,0.221591686224,0.373982,0.594702,1.897,1.2345,0.0,0.202843,0.785099,0.311685,96.9634592073,42.4032100766,96.8684,1-HuT-C04_S71,PASS
1-HuT-C13_S21,1396,2.71902480951,5986299.0,5773766.0,2898960.0,,,,81.5387,2.14205078626,1.62292687303,0.39262069159,0.405262,0.561416,1.5722,1.76,0.0001,0.22512,0.760436,0.394451,96.4496761689,50.2091702365,96.6678,1-HuT-C13_S21,FAIL
1-HuT-C15_S3,1269,5.97076250313,6068914.0,5887371.0,2960332.0,,,,83.8064,3.49108286194,1.38700278953,0.0358564119706,0.424112,0.534584,2.3976,1.7329,0.0,0.199567,0.720441,0.318812,97.0086410847,50.2827492951,95.8696,1-HuT-C15_S3,FAIL
1-HuT-C17_S65,3643,0.165417778361,5881516.0,5733528.0,813378.0,,,,55.9995,0.042643900928,0.0588468391538,0.0214353187078,0.083093,0.843415,3.5371,3.8117,0.0005,0.0,0.0,,97.4838460016,14.1863439055,92.6508,1-HuT-C17_S65,PASS
1-HuT-C18_S57,2131,4.34616394091,6487793.0,6308262.0,2573254.0,,,,72.5719,1.37771703204,0.854181389422,0.0256330507515,0.401453,0.568179,1.7931,1.2437,0.0,0.271055,0.710203,0.34937,97.2327877909,40.7918060474,96.9632,1-HuT-C18_S57,PASS
1-HuT-C19_S22,2138,3.47860818503,5129307.0,4979569.0,1910237.0,,,,71.1543,1.43056557706,0.695863437177,0.0180738533797,0.376129,0.596718,1.4964,1.2115,0.0073,0.145516,0.7017,0.380089,97.0807362476,38.3614927316,97.2847,1-HuT-C19_S22,PASS
1-HuT-C20_S13,1746,4.27216082138,5224441.0,5065706.0,2256963.0,,,,76.4455,1.87018354401,1.85322638148,0.0531613954699,0.405052,0.555539,2.3402,1.6007,0.0001,0.168186,0.700125,0.421092,96.9616845132,44.5537699977,96.0591,1-HuT-C20_S13,FAIL
1-HuT-C21_S4,2204,4.56301779064,4476775.0,4346569.0,1585277.0,,,,66.7267,1.60213722594,0.832449686178,0.0523171264508,0.378798,0.582714,2.3278,1.5135,0.0076,0.176605,0.701589,0.30498,97.0915223571,36.4719161251,96.1512,1-HuT-C21_S4,PASS
1-HuT-C27_S23,2161,5.96490707401,5281402.0,5130318.0,1962925.0,,,,69.1124,2.2143656592,0.70911783636,0.0519071137501,0.400785,0.560721,2.1055,1.7427,0.0013,0.23587,0.712173,0.438208,97.1393202032,38.2612734727,96.1506,1-HuT-C27_S23,PASS
