"","logFC","logCPM","PValue","FDR"
"ENSG00000234883",14.2336468887592,8.92470279089718,6.16874129176177e-19,4.82333881602852e-15
"ENSG00000119508",12.9906290471875,8.56792699033039,7.16648472429105e-16,2.80173720296159e-12
"ENSG00000140379",14.9554335633164,10.1567330343338,2.83486682036472e-15,6.67758197666618e-12
"ENSG00000232810",14.4441404768005,9.13478712213834,3.41607979366475e-15,6.67758197666618e-12
"ENSG00000110944",13.3517827291144,8.04530009366962,5.9054675506774e-13,9.23497015574931e-10
"ENSG00000109471",14.0110459328013,11.9676993774396,1.1267156900726e-12,1.46829833011294e-09
"ENSG00000162772",11.2014191243477,5.9132144391631,1.04882501905865e-10,1.17153754628851e-07
"ENSG00000075142",7.44846765188579,5.52493492740684,1.57117728629875e-09,1.48954172196781e-06
"ENSG00000148840",10.5752735221568,5.30017174099457,1.87933915135056e-09,1.48954172196781e-06
"ENSG00000259884",12.0614805673741,6.76288601230682,1.90502842047297e-09,1.48954172196781e-06
"ENSG00000177426",6.95580326997538,5.64221199203581,4.63264767725636e-09,3.02944000494507e-06
"ENSG00000157020",9.97345220454721,4.71645142183493,4.64935158707518e-09,3.02944000494507e-06
"ENSG00000164056",10.6122536623073,5.33675514360578,8.86885251503574e-09,5.33427367808188e-06
"ENSG00000111537",13.7993123219387,11.6243963803799,1.25355230522651e-08,7.00108962469008e-06
"ENSG00000130826",10.4433891335317,8.22732395142703,2.00223703587279e-08,1.04369942556596e-05
"ENSG00000129933",6.07259683901767,5.51306440550477,3.86819881801938e-08,1.89034040988085e-05
"ENSG00000132256",7.59250387376165,7.74909007959202,5.51591699329546e-08,2.53699735121043e-05
"ENSG00000118515",8.84409762515478,8.56336578580809,6.37439748215097e-08,2.76896743960769e-05
"ENSG00000139514",8.94850373576006,4.68785245547294,7.05593134114991e-08,2.84628623152385e-05
"ENSG00000106682",7.13881035645056,3.23311613870789,7.28043543042295e-08,2.84628623152385e-05
"ENSG00000167604",6.75923961709835,7.4096358182103,1.08924400379243e-07,4.05561850745382e-05
"ENSG00000144802",10.2445265415138,7.57597031040317,1.17075403195529e-07,4.16096626175382e-05
"ENSG00000115009",12.7878863846534,8.74017855590406,1.44164099138013e-07,4.9009525702614e-05
"ENSG00000180957",9.40687963609687,6.17632508834865,1.5742107950944e-07,5.12864758618462e-05
"ENSG00000179388",11.121935955988,7.53450382948376,2.85476428552379e-07,8.53674801949517e-05
"ENSG00000151135",9.22171203332499,7.04819758680266,2.90121814417301e-07,8.53674801949517e-05
"ENSG00000027869",8.41212671337591,5.33838714287293,2.9478475064122e-07,8.53674801949517e-05
"ENSG00000115446",8.58115808847014,4.30352616862593,3.4035280937325e-07,9.50435220174799e-05
"ENSG00000162889",7.3444787967712,3.76520161880335,3.83648915365256e-07,0.000103439685146239
"ENSG00000148154",9.30903799532463,4.59204331295664,4.07114972506038e-07,0.000106107732334157
"ENSG00000143337",5.50283244007067,6.64835690900279,4.71684467318024e-07,0.000118970995159988
"ENSG00000035681",10.7371240800962,5.45801037966276,8.77860873314486e-07,0.000214499817763936
"ENSG00000127328",6.45199616158615,6.98683243232182,1.12617528498944e-06,0.00026382070332333
"ENSG00000083457",6.47645410848818,6.75840731281864,1.17067445470651e-06,0.00026382070332333
"ENSG00000203498",-5.09243107486912,2.30673629886289,1.18093421362279e-06,0.00026382070332333
"ENSG00000125735",5.07207449881639,8.88326328243364,1.35827137332897e-06,0.00029317669439266
"ENSG00000095319",7.846662200854,6.27999588238973,1.41555290485195e-06,0.00029317669439266
"ENSG00000196704",7.15140774647698,4.95273184036584,1.4404303135724e-06,0.00029317669439266
"ENSG00000127951",6.4044853404262,4.95672994333187,1.46232140699754e-06,0.00029317669439266
"ENSG00000124225",7.72395388045027,2.6550793742818,1.58260442806793e-06,0.000309359600576579
"ENSG00000164933",4.7520654567888,8.19869388702246,1.62998732577568e-06,0.000310850509761951
"ENSG00000165169",4.87692512711285,7.49893411543336,1.7866214765951e-06,0.000332609364892787
"ENSG00000131238",11.9089768010009,6.61149952207623,2.0597543194485e-06,0.000374320361454015
"ENSG00000117505",12.1111898820094,6.81185740953057,2.10641973448992e-06,0.000374320361454015
"ENSG00000162924",5.58290778374788,6.62509144010007,2.96689651742514e-06,0.000515514752661049
"ENSG00000110047",9.86127239065742,4.60853710103275,3.46821483726245e-06,0.000589521126359894
"ENSG00000127314",4.30832837955562,8.35086356335521,3.71090890838698e-06,0.000612799472600784
"ENSG00000170915",-6.47544594738866,5.00168688879242,3.7619100504972e-06,0.000612799472600784
"ENSG00000067533",3.76834871631312,7.01249003843419,4.26150449596186e-06,0.000680014360284199
"ENSG00000164687",10.1225065087238,7.66119045088817,4.40476859464637e-06,0.000682170749566783
"ENSG00000143553",7.60182819421188,3.77115899818432,4.44950866196521e-06,0.000682170749566783
"ENSG00000184203",4.30533214899454,8.15182000078815,4.85636742942779e-06,0.000730229556359536
"ENSG00000108021",7.86916438747944,5.25924407872794,5.13384213419403e-06,0.000757387012212512
"ENSG00000213516",5.26228881372273,5.90610788576218,5.99026820319674e-06,0.000854679858419692
"ENSG00000215012",6.05860409981271,5.9323373230765,6.01194426564561e-06,0.000854679858419692
"ENSG00000255198",6.3961220462156,2.00714167287293,6.9603219238752e-06,0.000954885493872344
"ENSG00000106952",10.3365224111307,8.99352275898489,6.96105296722389e-06,0.000954885493872344
"ENSG00000122877",9.24508702579249,8.79486853698506,7.2565222792441e-06,0.000978254270713959
"ENSG00000136634",3.83974299260505,7.59454558289616,8.23891783540715e-06,0.00109186607720421
"ENSG00000169251",4.16741623006132,5.5946402880687,8.52548059864207e-06,0.00111101221334637
"ENSG00000157193",5.39396360714242,5.4619387515503,8.92969841014658e-06,0.00114461166998256
"ENSG00000123358",4.34821821083118,7.62566602552609,9.11093157514476e-06,0.00114900603203318
"ENSG00000181481",7.62830374425609,6.41340641668891,1.00089105970438e-05,0.00124221701521088
"ENSG00000248837",-5.18891433138703,1.76726770567532,1.12825320768407e-05,0.00136015983561195
"ENSG00000131462",5.05678765705198,6.64811036980974,1.13071223065324e-05,0.00136015983561195
"ENSG00000112996",7.51368092875268,6.54998909460545,1.23899603190729e-05,0.00146783484446713
"ENSG00000136758",3.847608017288,6.63562619937718,1.46119992343895e-05,0.00170524211960734
"ENSG00000066294",3.60855075433164,8.04752772626354,1.51085798601142e-05,0.00173726449891519
"ENSG00000229644",8.83340037359617,7.08605729510381,1.59493999882492e-05,0.00179188546559888
"ENSG00000114541",4.58069467575145,5.95361371665311,1.61774495310369e-05,0.00179188546559888
"ENSG00000146426",4.94581693839725,7.1766913392199,1.6271117541568e-05,0.00179188546559888
"ENSG00000143367",5.18472951490132,7.20397134665219,1.69634034216988e-05,0.00184217849103143
"ENSG00000132300",4.48514688333022,8.03899746145024,1.74039869962656e-05,0.00186413389484658
"ENSG00000090857",5.13703292127809,5.60376335505859,1.801604133311e-05,0.00190361388085928
"ENSG00000174628",5.10806327983987,1.24122390544274,2.00694841858198e-05,0.00209231062465233
"ENSG00000103769",-9.65377628291044,7.79862598205101,2.11039483539748e-05,0.00217120752868064
"ENSG00000197147",5.49430457758538,7.26804070162593,2.5244640575598e-05,0.00256347850208573
"ENSG00000158864",4.26976042961141,6.72744414330361,2.94637488815112e-05,0.00291180432632185
"ENSG00000162636",-9.09601167757855,7.1826027383843,2.94896391815774e-05,0.00291180432632185
"ENSG00000177200",-8.50577316137025,8.021107076862,2.98014060723115e-05,0.00291180432632185
"ENSG00000027075",4.83361963088061,7.83132880723191,3.01644903992927e-05,0.00291180432632185
"ENSG00000129116",4.54320452415867,6.49295906251418,3.24464569789936e-05,0.00309388837949696
"ENSG00000163874",7.4422103374509,4.85549225624806,3.58155837844132e-05,0.00335859503081178
"ENSG00000102245",6.06571890464366,11.4960735630935,3.61573429034009e-05,0.00335859503081178
"ENSG00000168256",3.80814714957558,5.63606393579414,3.65111366695231e-05,0.00335859503081178
"ENSG00000101161",6.44208602702585,1.66616892324208,3.77303716648757e-05,0.00343039274474027
"ENSG00000117360",3.66750644156168,5.83479553100039,4.07237708985252e-05,0.00363076225190882
"ENSG00000169021",8.31754455924438,5.24394406553959,4.12685942223502e-05,0.00363076225190882
"ENSG00000256087",4.95982266496773,5.9543610648918,4.13272592940127e-05,0.00363076225190882
"ENSG00000115594",6.81801735127847,6.4695365677,4.37779233161029e-05,0.00380332869342898
"ENSG00000172890",5.35061601072484,5.03577539678523,4.50972992320877e-05,0.00387489871094169
"ENSG00000135899",-6.60790029879307,6.24759327947768,4.76581330472199e-05,0.0040504232858284
"ENSG00000153303",-4.13298516477047,2.67143335149186,4.87136376935544e-05,0.00409561218414948
"ENSG00000164171",5.33306783320395,5.77716869856862,5.07032691080207e-05,0.00421754107612356
"ENSG00000008294",3.52045856152106,8.05934330637425,5.15348889611169e-05,0.00424159259775761
"ENSG00000149761",3.42825705592952,5.85296962424047,5.23506726790325e-05,0.00426385322580578
"ENSG00000149308",6.28566173486358,6.99948653934009,5.54598034205095e-05,0.00447051755613364
"ENSG00000066084",-6.01141899063771,3.62801895017858,7.19477003369295e-05,0.00574039866259644
"ENSG00000177663",5.03055550054882,5.30946987907163,7.68639730905383e-05,0.00607070106661534
"ENSG00000184886",4.54655341938644,6.69909924597738,7.78870237907402e-05,0.00608998639019798
"ENSG00000180233",-9.03723013463947,4.37953216136662,8.12713935828788e-05,0.00629129644652337
"ENSG00000176422",5.00093268660793,6.29354155261464,8.21310745361546e-05,0.00629129644652337
"ENSG00000125827",4.94419170013165,7.04984787590755,8.34852086766313e-05,0.00629129644652337
"ENSG00000111142",6.16776618863637,7.11068802126617,8.36801164392416e-05,0.00629129644652337
"ENSG00000054523",3.02452154083767,6.22750114196776,9.01773459746238e-05,0.00671520636357698
"ENSG00000123607",4.70344129106669,4.6714246018001,9.30068341695889e-05,0.00686057015445298
"ENSG00000121481",4.09104981380368,6.08153757979195,9.4808788815803e-05,0.00692813009112863
"ENSG00000129691",-3.76633727291826,6.12791949903825,9.65020172673315e-05,0.00698656734271542
"ENSG00000180011",-8.66492163103612,6.63204828267136,9.88317596549342e-05,0.0070895920068067
"ENSG00000096717",6.61324371756025,3.77353859321067,0.000102797202032375,0.00730701202446494
"ENSG00000152223",5.9299645471372,5.49273329074927,0.000110150885640228,0.00771919869105605
"ENSG00000079277",-4.19045662874719,7.0546822309066,0.000110570437830704,0.00771919869105605
"ENSG00000171503",5.48509991193294,6.89664963645684,0.000116824084738665,0.0080836063590409
"ENSG00000175931",-6.32034876628537,6.24137097742245,0.000121933560255228,0.00836314480382128
"ENSG00000115421",-7.61037318569509,6.68168590930802,0.000123186246172367,0.00837559355497162
"ENSG00000267002",3.23744742379261,2.9768336266983,0.000126748027103077,0.00847395746054782
"ENSG00000004779",6.22359208154455,3.58189204490934,0.000126800488922381,0.00847395746054782
