,Description,Chromosome.Name,Gene.Start..bp.,Gene.End..bp.,Associated.Gene.Name,Gene.Biotype
ENSG00000229483,long intergenic non-protein coding RNA 362 [Source:HGNC Symbol;Acc:42682],13,23743974,23744736,LINC00362,lincRNA
ENSG00000232849,long intergenic non-protein coding RNA 363 [Source:HGNC Symbol;Acc:42684],13,93708910,93710179,LINC00363,lincRNA
ENSG00000229558,SACS antisense RNA 1 [Source:HGNC Symbol;Acc:39835],13,23993110,24002818,SACS-AS1,lincRNA
ENSG00000232977,long intergenic non-protein coding RNA 327 [Source:HGNC Symbol;Acc:42009],13,24040710,24061603,LINC00327,lincRNA
ENSG00000227893,long intergenic non-protein coding RNA 352 [Source:HGNC Symbol;Acc:42670],13,24072935,24077013,LINC00352,lincRNA
ENSG00000238230,long intergenic non-protein coding RNA 391 [Source:HGNC Symbol;Acc:42719],13,95351948,95355116,LINC00391,lincRNA
ENSG00000227640,SOX21 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:39807],13,95364970,95368500,SOX21-AS1,lincRNA
ENSG00000260962,long intergenic non-protein coding RNA 557 [Source:HGNC Symbol;Acc:43701],13,95612295,95613573,LINC00557,lincRNA
ENSG00000228741,,13,24553949,24609166,RP11-309I15.1,lincRNA
ENSG00000247400,DNAJC3 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:39808],13,96300987,96329179,DNAJC3-AS1,lincRNA
ENSG00000261498,long intergenic non-protein coding RNA 566 [Source:HGNC Symbol;Acc:43710],13,24905588,24911259,LINC00566,lincRNA
ENSG00000243300,long intergenic non-protein coding RNA 359 [Source:HGNC Symbol;Acc:42679],13,97593535,97636426,LINC00359,lincRNA
ENSG00000233124,long intergenic non-protein coding RNA 456 [Source:HGNC Symbol;Acc:42804],13,97824723,97831876,LINC00456,lincRNA
ENSG00000226134,,13,98327265,98330217,RP11-120E13.1,lincRNA
ENSG00000234056,AMER2 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:42813],13,25746966,25754217,AMER2-AS1,lincRNA
ENSG00000225105,long intergenic non-protein coding RNA 1076 [Source:HGNC Symbol;Acc:49119],13,25767245,25784433,LINC01076,lincRNA
ENSG00000260509,,13,25874262,25875576,RP11-271M24.2,lincRNA
ENSG00000231983,long intergenic non-protein coding RNA 415 [Source:HGNC Symbol;Acc:42748],13,26626414,26627523,LINC00415,lincRNA
ENSG00000228889,UBAC2 antisense RNA 1 [Source:HGNC Symbol;Acc:42502],13,99848631,99852964,UBAC2-AS1,lincRNA
ENSG00000234168,long intergenic non-protein coding RNA 1039 [Source:HGNC Symbol;Acc:49027],13,100229366,100232622,LINC01039,lincRNA
ENSG00000229609,long intergenic non-protein coding RNA 1079 [Source:HGNC Symbol;Acc:49122],13,27947485,27948503,LINC01079,lincRNA
ENSG00000260704,long intergenic non-protein coding RNA 543 [Source:HGNC Symbol;Acc:43678],13,28527663,28529507,LINC00543,lincRNA
ENSG00000229599,long intergenic non-protein coding RNA 411 [Source:HGNC Symbol;Acc:42744],13,101593116,101596618,LINC00411,lincRNA
ENSG00000224329,long intergenic non-protein coding RNA 297 [Source:HGNC Symbol;Acc:39210],13,30446750,30462542,LINC00297,lincRNA
ENSG00000243319,FGF14 intronic transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:42774],13,102944677,103046869,FGF14-IT1,lincRNA
ENSG00000122043,long intergenic non-protein coding RNA 544 [Source:HGNC Symbol;Acc:43679],13,30510042,30524625,LINC00544,lincRNA
ENSG00000266505,,13,30596158,30597937,RP11-629E24.2,lincRNA
ENSG00000224511,long intergenic non-protein coding RNA 365 [Source:HGNC Symbol;Acc:42687],13,30677315,30683012,LINC00365,lincRNA
ENSG00000232117,long intergenic non-protein coding RNA 384 [Source:HGNC Symbol;Acc:42711],13,30726023,30733758,LINC00384,lincRNA
ENSG00000232643,long intergenic non-protein coding RNA 385 [Source:HGNC Symbol;Acc:42713],13,30728203,30728723,LINC00385,lincRNA
ENSG00000236463,long intergenic non-protein coding RNA 427 [Source:HGNC Symbol;Acc:42762],13,30890497,30894040,LINC00427,lincRNA
ENSG00000234551,,13,104077550,104080035,RP11-123H22.1,lincRNA
ENSG00000238121,long intergenic non-protein coding RNA 426 [Source:HGNC Symbol;Acc:42761],13,30914407,30951282,LINC00426,lincRNA
ENSG00000225039,long intergenic non-protein coding RNA 1058 [Source:HGNC Symbol;Acc:49061],13,30993656,30996374,LINC01058,lincRNA
ENSG00000233532,long intergenic non-protein coding RNA 460 [Source:HGNC Symbol;Acc:42809],13,107028911,107030565,LINC00460,lincRNA
ENSG00000230156,long intergenic non-protein coding RNA 443 [Source:HGNC Symbol;Acc:42780],13,107306264,107324511,LINC00443,lincRNA
ENSG00000237879,long intergenic non-protein coding RNA 398 [Source:HGNC Symbol;Acc:42727],13,31377343,31384782,LINC00398,lincRNA
ENSG00000236094,long intergenic non-protein coding RNA 545 [Source:HGNC Symbol;Acc:43680],13,31456688,31457532,LINC00545,lincRNA
ENSG00000223617,long intergenic non-protein coding RNA 370 [Source:HGNC Symbol;Acc:42692],13,109934321,109940081,LINC00370,lincRNA
ENSG00000230233,,21,19986749,20022678,AF240627.2,lincRNA
ENSG00000230403,long intergenic non-protein coding RNA 1066 [Source:HGNC Symbol;Acc:49104],13,31569299,31570275,LINC01066,lincRNA
ENSG00000236053,long intergenic non-protein coding RNA 1067 [Source:HGNC Symbol;Acc:49105],13,109962483,109964121,LINC01067,lincRNA
ENSG00000229792,long intergenic non-protein coding RNA 399 [Source:HGNC Symbol;Acc:42728],13,110053043,110053988,LINC00399,lincRNA
ENSG00000231428,long intergenic non-protein coding RNA 396 [Source:HGNC Symbol;Acc:42724],13,110705632,110707299,LINC00396,lincRNA
ENSG00000232193,,21,20290252,20308177,AL157359.4,lincRNA
ENSG00000226204,,21,20325582,20339376,AL157359.3,lincRNA
ENSG00000235965,,21,20418629,20420003,AP000431.1,lincRNA
ENSG00000235822,long intergenic non-protein coding RNA 1073 [Source:HGNC Symbol;Acc:49114],13,32559822,32565134,LINC01073,lincRNA
ENSG00000229289,,21,20502841,20506741,AP000431.2,lincRNA
ENSG00000231620,,21,20673930,20676056,AP000855.4,lincRNA
ENSG00000259831,long intergenic non-protein coding RNA 567 [Source:HGNC Symbol;Acc:43711],13,111462023,111465431,LINC00567,lincRNA
ENSG00000233480,,21,21265593,21272069,AP000946.2,lincRNA
ENSG00000225760,long intergenic non-protein coding RNA 431 [Source:HGNC Symbol;Acc:42766],13,111635654,111642911,LINC00431,lincRNA
ENSG00000233236,,21,21629065,21631133,AP001171.1,lincRNA
ENSG00000225870,long intergenic non-protein coding RNA 368 [Source:HGNC Symbol;Acc:42690],13,111748185,111755444,LINC00368,lincRNA
ENSG00000226968,long intergenic non-protein coding RNA 423 [Source:HGNC Symbol;Acc:42758],13,33451569,33485788,LINC00423,lincRNA
ENSG00000226903,long intergenic non-protein coding RNA 354 [Source:HGNC Symbol;Acc:42672],13,112554299,112555490,LINC00354,lincRNA
ENSG00000224924,long intergenic non-protein coding RNA 320 [Source:HGNC Symbol;Acc:19690],21,22114908,22175534,LINC00320,lincRNA
ENSG00000260385,,13,112737863,112739785,RP11-450H6.3,lincRNA
ENSG00000229520,long intergenic non-protein coding RNA 404 [Source:HGNC Symbol;Acc:42734],13,112760409,112761196,LINC00404,lincRNA
ENSG00000224243,long intergenic non-protein coding RNA 403 [Source:HGNC Symbol;Acc:42733],13,112761433,112762329,LINC00403,lincRNA
ENSG00000260102,long intergenic non-protein coding RNA 1070 [Source:HGNC Symbol;Acc:49110],13,112851664,112855314,LINC01070,lincRNA
ENSG00000234730,,21,22939084,22987758,AF241725.4,lincRNA
ENSG00000260343,long intergenic non-protein coding RNA 1043 [Source:HGNC Symbol;Acc:49031],13,112967781,112976072,LINC01043,lincRNA
ENSG00000223626,long intergenic non-protein coding RNA 1044 [Source:HGNC Symbol;Acc:49032],13,112976881,112985539,LINC01044,lincRNA
ENSG00000237527,,21,23027359,23058649,AF241725.6,lincRNA
ENSG00000238265,long intergenic non-protein coding RNA 317 [Source:HGNC Symbol;Acc:23126],21,23095613,23109639,LINC00317,lincRNA
ENSG00000267868,,13,113619149,113620445,RP11-120K24.3,lincRNA
ENSG00000233997,,21,23119293,23169735,AP000475.2,lincRNA
ENSG00000227075,,21,23305635,23348000,AP000472.3,lincRNA
